area	gene	indication_mesh_id	indication_mesh_term	lead_maf
dermatology	IL4R	D003876	Dermatitis, Atopic	0.067936549213366
dermatology	IL6R	D001172	Arthritis, Rheumatoid	0.377549686192469
dermatology	INPP5D	D003876	Dermatitis, Atopic	0.190652626105044
dermatology	JAK2	D011565	Psoriasis	0.0164635727249157
dermatology	JAK2	D015535	Arthritis, Psoriatic	0.0164635727249157
dermatology	MAPK14	D017719	Diabetic Foot	0.100737910133087
dermatology	MC1R	D000417	Albinism	0.0721047853715471
dermatology	MC1R	D010787	Photosensitivity Disorders	0.0772225827384815
dermatology	NFKB1	D003876	Dermatitis, Atopic	0.345579644294431
dermatology	STAT3	D011565	Psoriasis	0.344105717650137
dermatology	TNFSF4	D003876	Dermatitis, Atopic	0.324243604726659
dermatology	TSLP	D003876	Dermatitis, Atopic	0.0271725032425422
dermatology	TYK2	D011565	Psoriasis	0.0426014784074698
dermatology	TYK2	D015535	Arthritis, Psoriatic	0.0426014784074698
signs/symptoms	APP	D013494	Supranuclear Palsy, Progressive	0.47496749024707396
signs/symptoms	AVPR1A	D018805	Sepsis	0.271917273673257
signs/symptoms	CALCR	D009765	Obesity	0.409031669490421
signs/symptoms	CRP	D007249	Inflammation	0.346809895833333
signs/symptoms	CYP7A1	D042882	Gallstones	0.362131637024536
signs/symptoms	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.00725952813067151
signs/symptoms	FGFR1	D009765	Obesity	0.40534077321642104
signs/symptoms	FGFR4	D009765	Obesity	0.234450384665537
signs/symptoms	GFRAL	D009765	Obesity	0.365679397246038
signs/symptoms	GLP1R	D009765	Obesity	0.481146794955142
signs/symptoms	GRIA1	D012893	Sleep Wake Disorders	0.359330391902414
signs/symptoms	HCN4	D001281	Atrial Fibrillation	0.17298209187646
signs/symptoms	HCRTR1	D012893	Sleep Wake Disorders	0.378400215459197
signs/symptoms	HCRTR2	D012893	Sleep Wake Disorders	0.419492080115198
signs/symptoms	HTR1A	D009765	Obesity	0.496346555323591
signs/symptoms	IL12B	D008105	Liver Cirrhosis, Biliary	0.470962712745225
signs/symptoms	IL18	D007249	Inflammation	0.243399661854597
signs/symptoms	IL1RN	D007249	Inflammation	0.370005189413596
signs/symptoms	IL33	D009298	Nasal Polyps	0.24109248100602598
signs/symptoms	IL6	D007249	Inflammation	0.0476839237057221
signs/symptoms	KCND3	D001281	Atrial Fibrillation	0.0906850025947068
signs/symptoms	KCNH2	D001281	Atrial Fibrillation	0.181735515718368
signs/symptoms	KCNJ5	D001281	Atrial Fibrillation	0.0865871059800234
signs/symptoms	LEPR	D009765	Obesity	0.0878115264797508
signs/symptoms	MC4R	D009765	Obesity	0.22279859940345
signs/symptoms	MTNR1B	D012893	Sleep Wake Disorders	0.24529037287254796
signs/symptoms	NLRP3	D007249	Inflammation	0.38023756689727195
signs/symptoms	NPY	D009765	Obesity	0.46870882740448
signs/symptoms	NR1H4	D007249	Inflammation	0.0222380705394191
signs/symptoms	NR3C1	D009765	Obesity	0.17163499088779
signs/symptoms	OPRM1	D009765	Obesity	0.172749707754254
signs/symptoms	PPARA	D009765	Obesity	0.00953802232026992
signs/symptoms	PPARD	D009765	Obesity	0.118605556998182
signs/symptoms	PPARG	D009765	Obesity	0.13148676699533
signs/symptoms	SCN5A	D001145	Arrhythmias, Cardiac	0.139187962122195
signs/symptoms	SCN5A	D001281	Atrial Fibrillation	0.020871143375680967
signs/symptoms	SCN5A	D017180	Tachycardia, Ventricular	0.323299960993369
signs/symptoms	SLC6A3	D012893	Sleep Wake Disorders	0.47906644129502
signs/symptoms	SLC6A4	D009765	Obesity	0.397469175859831
signs/symptoms	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	0.223542397091287
signs/symptoms	TNFRSF1A	D007249	Inflammation	0.422701224277156
signs/symptoms	TNFRSF1A	D008103	Liver Cirrhosis	0.422701224277156
signs/symptoms	TNFRSF1A	D018805	Sepsis	0.422701224277156
signs/symptoms	TSLP	D009298	Nasal Polyps	0.273063448812768
immune	ADORA1	D001249	Asthma	0.344225022736131
immune	ADRB2	D001249	Asthma	0.153561697158427
immune	CD200R1	D003876	Dermatitis, Atopic	0.45255095417369895
immune	CD28	D001172	Arthritis, Rheumatoid	0.22868820552744296
immune	CD28	D001327	Autoimmune Diseases	0.22882566900493595
immune	CD28	D012859	Sjogren's Syndrome	0.22868820552744296
immune	CD40	D001172	Arthritis, Rheumatoid	0.24548408057180005
immune	CD40	D012859	Sjogren's Syndrome	0.24548408057180005
immune	CHRM3	D001249	Asthma	0.48645304155269
immune	CHRM3	D065631	Rhinitis, Allergic	0.48645304155269
immune	CTLA4	D008180	Lupus Erythematosus, Systemic	0.422232328482329
immune	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.00725952813067151
immune	FGFR3	D001249	Asthma	0.0668785677218474
immune	GATA3	D001249	Asthma	0.41607026675341596
immune	GATA3	D003876	Dermatitis, Atopic	0.274558212058212
immune	HLA-DRB1	D001172	Arthritis, Rheumatoid	0.373907371167645
immune	IL12B	D001327	Autoimmune Diseases	0.485625081306101
immune	IL13	D001249	Asthma	0.23781992984279599
immune	IL13	D003876	Dermatitis, Atopic	0.24086357133567404
immune	IL13	D057765	Eosinophilic Esophagitis	0.23781992984279599
immune	IL1B	D006967	Hypersensitivity	0.354859667359667
immune	IL2RA	D001172	Arthritis, Rheumatoid	0.430606139438085
immune	IL2RA	D001327	Autoimmune Diseases	0.4234228362878
immune	IL2RA	D003876	Dermatitis, Atopic	0.0793506493506494
immune	IL2RA	D003922	Diabetes Mellitus, Type 1	0.0959117456197275
immune	IL2RA	D012859	Sjogren's Syndrome	0.430606139438085
immune	IL33	D003876	Dermatitis, Atopic	0.150921359979237
immune	IL4R	D001249	Asthma	0.06776580553031297
immune	IL4R	D003876	Dermatitis, Atopic	0.067936549213366
immune	IL4R	D006967	Hypersensitivity	0.06582411795681897
immune	IL4R	D057765	Eosinophilic Esophagitis	0.287108104592169
immune	IL4R	D065631	Rhinitis, Allergic	0.06776580553031297
immune	IL5RA	D057765	Eosinophilic Esophagitis	0.381371398774606
immune	IL6	D001249	Asthma	0.293195420244601
immune	IL6R	D001172	Arthritis, Rheumatoid	0.377549686192469
immune	IL7R	D009103	Multiple Sclerosis	0.267991686152247
immune	INPP5D	D003876	Dermatitis, Atopic	0.190652626105044
immune	INS	D003922	Diabetes Mellitus, Type 1	0.26888512633498296
immune	MMP12	D001249	Asthma	0.188051948051948
immune	NFKB1	D003876	Dermatitis, Atopic	0.345579644294431
immune	NR3C1	D001249	Asthma	0.444631961573413
immune	NR3C1	D057765	Eosinophilic Esophagitis	0.439511873350923
immune	NR3C1	D065631	Rhinitis, Allergic	0.444631961573413
immune	PDE3A	D001249	Asthma	0.414477107180021
immune	PDE4D	D001249	Asthma	0.304798539574912
immune	PDE4D	D065631	Rhinitis, Allergic	0.304798539574912
immune	PTGER4	D006967	Hypersensitivity	0.43143117119459296
immune	S1PR1	D057765	Eosinophilic Esophagitis	0.466608084358524
immune	S1PR4	D057765	Eosinophilic Esophagitis	0.011870783601453
immune	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	0.223542397091287
immune	TNFRSF1A	D009103	Multiple Sclerosis	0.422701224277156
immune	TNFSF4	D001249	Asthma	0.300715214564369
immune	TNFSF4	D003876	Dermatitis, Atopic	0.324243604726659
immune	TNFSF4	D065631	Rhinitis, Allergic	0.300715214564369
immune	TSLP	D001249	Asthma	0.273063448812768
immune	TSLP	D003876	Dermatitis, Atopic	0.0271725032425422
immune	TYK2	D001327	Autoimmune Diseases	0.0426014784074698
psychiatry	ALDH2	D000437	Alcoholism	0
psychiatry	ALDH2	D019973	Alcohol-Related Disorders	0
psychiatry	APOE	D000544	Alzheimer Disease	0.0820817552566279
psychiatry	APP	D000544	Alzheimer Disease	0.47496749024707396
psychiatry	APP	D003704	Dementia	0.47496749024707396
psychiatry	C9orf72	D057180	Frontotemporal Dementia	0.199714508175448
psychiatry	CACNA2D1	D001008	Anxiety Disorders	0.41563678938467497
psychiatry	CD33	D000544	Alzheimer Disease	0.321168831168831
psychiatry	CHRNA4	D014029	Tobacco Use Disorder	0.155300077942323
psychiatry	CYP2A6	D014029	Tobacco Use Disorder	0.425524977174905
psychiatry	DRD2	D001008	Anxiety Disorders	0.33415616473950904
psychiatry	DRD2	D003863	Depression	0.326748115414609
psychiatry	DRD2	D003865	Depressive Disorder, Major	0.395078561225815
psychiatry	GRIA1	D012559	Schizophrenia	0.478096971272585
psychiatry	GRIA1	D012893	Sleep Wake Disorders	0.359330391902414
psychiatry	GRIN2B	D000544	Alzheimer Disease	0.063051375194603
psychiatry	GRM3	D001008	Anxiety Disorders	0.403513337670787
psychiatry	GRM5	D001008	Anxiety Disorders	0.467171387547318
psychiatry	GRM5	D003865	Depressive Disorder, Major	0.457653132412446
psychiatry	GRM5	D009771	Obsessive-Compulsive Disorder	0.467171387547318
psychiatry	GRN	D057180	Frontotemporal Dementia	0.308003655829743
psychiatry	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders	0.378400215459197
psychiatry	HCRTR1	D012893	Sleep Wake Disorders	0.378400215459197
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	0.419492080115198
psychiatry	HCRTR2	D009290	Narcolepsy	0.419492080115198
psychiatry	HCRTR2	D012893	Sleep Wake Disorders	0.419492080115198
psychiatry	HTR1A	D007319	Sleep Initiation and Maintenance Disorders	0.324986992715921
psychiatry	HTR6	D001714	Bipolar Disorder	0.37610269914417405
psychiatry	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders	0.24529037287254796
psychiatry	MTNR1B	D012893	Sleep Wake Disorders	0.24529037287254796
psychiatry	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	0.45837127618056495
psychiatry	OPRM1	D009293	Opioid-Related Disorders	0.130454545454545
psychiatry	OPRM1	D019966	Substance-Related Disorders	0.130454545454545
psychiatry	PDE10A	D001714	Bipolar Disorder	0.0597198806899235
psychiatry	SCN2A	D001714	Bipolar Disorder	0.0684736091298146
psychiatry	SLC6A3	D009290	Narcolepsy	0.47906644129502
psychiatry	SLC6A3	D012148	Restless Legs Syndrome	0.47906644129502
psychiatry	SLC6A3	D012893	Sleep Wake Disorders	0.47906644129502
psychiatry	SLC6A3	D020920	Dyssomnias	0.47906644129502
psychiatry	SLC7A11	D001008	Anxiety Disorders	0.424853610930384
psychiatry	SLC7A11	D003863	Depression	0.416981377783566
psychiatry	SLC7A11	D009771	Obsessive-Compulsive Disorder	0.424853610930384
digestive	CASP8	D008107	Liver Diseases	0.29904587635603197
digestive	CCL20	D003093	Colitis, Ulcerative	0.324037961518461
digestive	CD40	D003093	Colitis, Ulcerative	0.245227892481496
digestive	CD40	D003424	Crohn Disease	0.245227892481496
digestive	CYP7A1	D042882	Gallstones	0.362131637024536
digestive	IFNG	D003424	Crohn Disease	0.40404106029106
digestive	IL12B	D003093	Colitis, Ulcerative	0.28614183474300603
digestive	IL12B	D003424	Crohn Disease	0.28614183474300603
digestive	IL12B	D008105	Liver Cirrhosis, Biliary	0.470962712745225
digestive	IL13	D057765	Eosinophilic Esophagitis	0.23781992984279599
digestive	IL23R	D003093	Colitis, Ulcerative	0.0638863665845116
digestive	IL23R	D003424	Crohn Disease	0.0638863665845116
digestive	IL23R	D015212	Inflammatory Bowel Diseases	0.0638863665845116
digestive	IL2RA	D003093	Colitis, Ulcerative	0.154919522326064
digestive	IL4R	D057765	Eosinophilic Esophagitis	0.287108104592169
digestive	IL5RA	D057765	Eosinophilic Esophagitis	0.381371398774606
digestive	JAK2	D003093	Colitis, Ulcerative	0.350337925656356
digestive	JAK2	D003424	Crohn Disease	0.350337925656356
digestive	MAP3K8	D003093	Colitis, Ulcerative	0.38086267376900096
digestive	MAP3K8	D015212	Inflammatory Bowel Diseases	0.38086267376900096
digestive	NFKB1	D003093	Colitis, Ulcerative	0.366047055764981
digestive	NFKB1	D003424	Crohn Disease	0.366047055764981
digestive	NR1H4	D008107	Liver Diseases	0.0649544863459038
digestive	NR3C1	D057765	Eosinophilic Esophagitis	0.439511873350923
digestive	PDE4B	D003093	Colitis, Ulcerative	0.0106465853025188
digestive	PDE4B	D003424	Crohn Disease	0.0106465853025188
digestive	PDE4B	D015212	Inflammatory Bowel Diseases	0.0106465853025188
digestive	PNPLA3	D065626	Non-alcoholic Fatty Liver Disease	0.224288697468024
digestive	PRKCB	D003093	Colitis, Ulcerative	0.432134043382257
digestive	PTGER4	D003093	Colitis, Ulcerative	0.280945577347707
digestive	S1PR1	D057765	Eosinophilic Esophagitis	0.466608084358524
digestive	S1PR4	D057765	Eosinophilic Esophagitis	0.011870783601453
digestive	SMAD7	D003093	Colitis, Ulcerative	0.372821846553966
digestive	SMAD7	D003424	Crohn Disease	0.372821846553966
digestive	STAT3	D003093	Colitis, Ulcerative	0.403026760197454
digestive	TNFRSF1A	D008103	Liver Cirrhosis	0.422701224277156
digestive	TNFSF15	D003093	Colitis, Ulcerative	0.32837275799324195
digestive	TNFSF15	D003424	Crohn Disease	0.32271665801764404
oncology	AR	D011471	Prostatic Neoplasms	0.15659702616224402
oncology	BCL2	D008224	Lymphoma, Follicular	0.0845015576323987
oncology	BCL2	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	0.0856901920083031
oncology	BCL2	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	0.0856901920083031
oncology	CCND1	D001943	Breast Neoplasms	0.0642189932537623
oncology	CCNE1	D001943	Breast Neoplasms	0.326389792995704
oncology	CDK6	D011471	Prostatic Neoplasms	0.0957598547717842
oncology	CDKN1A	D015179	Colorectal Neoplasms	0.236695223260644
oncology	CYP19A1	D001943	Breast Neoplasms	0.336928104575163
oncology	EDNRB	D005770	Gastrointestinal Neoplasms	0.12094779325608596
oncology	EGFR	D005909	Glioblastoma	0.0921999738254155
oncology	EGFR	D008527	Medulloblastoma	0.0921999738254155
oncology	EGFR	D018242	Neuroectodermal Tumors, Primitive	0.0921999738254155
oncology	EPAS1	D007680	Kidney Neoplasms	0.402611746361746
oncology	ESR1	D001943	Breast Neoplasms	0.0795174471397068
oncology	ESR1	D009369	Neoplasms	0.0623184578822287
oncology	FGFR2	D001943	Breast Neoplasms	0.37947183556654096
oncology	FGFR2	D011471	Prostatic Neoplasms	0.25953802232027
oncology	FGFR2	D013736	Testicular Neoplasms	0.25953802232027
oncology	GNRH1	D007889	Leiomyoma	0.263892495455726
oncology	IL13	D006689	Hodgkin Disease	0.23781992984279599
oncology	ITGB8	D011471	Prostatic Neoplasms	0.49900924702774097
oncology	JAK2	D011087	Polycythemia Vera	0.279495841995842
oncology	JAK2	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	0.279495841995842
oncology	JAK2	D019337	Hematologic Neoplasms	0.279495841995842
oncology	KLK3	D011471	Prostatic Neoplasms	0.0686656282450675
oncology	MAP3K1	D001943	Breast Neoplasms	0.287003375746559
oncology	MC1R	D014983	Xeroderma Pigmentosum	0.0772225827384815
oncology	MC1R	D018307	Neoplasms, Squamous Cell	0.0721047853715471
oncology	MDM4	D001943	Breast Neoplasms	0.24655933523760099
oncology	MSLN	D009369	Neoplasms	0.277387457715327
oncology	MYC	D001943	Breast Neoplasms	0.171124383277071
oncology	MYC	D008223	Lymphoma	0.317532467532468
oncology	MYC	D011471	Prostatic Neoplasms	0.165627435697584
oncology	NKX3-1	D011471	Prostatic Neoplasms	0.425321721045106
oncology	PARP1	D008545	Melanoma	0.337015856511567
oncology	PIK3C2B	D009369	Neoplasms	0.26163546541861704
oncology	PTPN1	D015179	Colorectal Neoplasms	0.454250064985703
oncology	TNFRSF13B	D009101	Multiple Myeloma	0.105215123859192
oncology	TYR	D008545	Melanoma	0.260609216349909
oncology	TYRP1	D008545	Melanoma	0.348043676069154
oncology	VEGFA	D011471	Prostatic Neoplasms	0.49844135602026196
oncology	VEGFA	D014565	Urogenital Neoplasms	0.49844135602026196
oncology	WT1	D010051	Ovarian Neoplasms	0.358490566037736
cardiovascular	ADRA1A	D006973	Hypertension	0.396988186420875
cardiovascular	ADRA2C	D006973	Hypertension	0.438827361563518
cardiovascular	ADRB2	D006973	Hypertension	0.0114063512637719
cardiovascular	AGT	D006973	Hypertension	0.439133827545845
cardiovascular	CYP11B2	D006973	Hypertension	0.418804531840083
cardiovascular	EDNRA	D006973	Hypertension	0.132442599558957
cardiovascular	F11	D013927	Thrombosis	0.400839312305401
cardiovascular	F11	D020246	Venous Thrombosis	0.400839312305401
cardiovascular	HCN4	D001281	Atrial Fibrillation	0.17298209187646
cardiovascular	KCND3	D001281	Atrial Fibrillation	0.0906850025947068
cardiovascular	KCNH2	D001281	Atrial Fibrillation	0.181735515718368
cardiovascular	KCNJ5	D001281	Atrial Fibrillation	0.0865871059800234
cardiovascular	LPA	D002318	Cardiovascular Diseases	0.0181488203266788
cardiovascular	MAPK14	D017719	Diabetic Foot	0.100737910133087
cardiovascular	NPR1	D006973	Hypertension	0.01778989741592
cardiovascular	PDE3A	D020521	Stroke	0.388607430501429
cardiovascular	PDE3A	D050197	Atherosclerosis	0.30071614583333295
cardiovascular	REN	D006973	Hypertension	0.0324860588769291
cardiovascular	SCN5A	D001145	Arrhythmias, Cardiac	0.139187962122195
cardiovascular	SCN5A	D001281	Atrial Fibrillation	0.020871143375680967
cardiovascular	SCN5A	D017180	Tachycardia, Ventricular	0.323299960993369
cardiovascular	SLC12A2	D006973	Hypertension	0.117925752855659
neurology	APOE	D000544	Alzheimer Disease	0.0820817552566279
neurology	APP	D000544	Alzheimer Disease	0.47496749024707396
neurology	APP	D003704	Dementia	0.47496749024707396
neurology	APP	D013494	Supranuclear Palsy, Progressive	0.47496749024707396
neurology	C9orf72	D000690	Amyotrophic Lateral Sclerosis	0.199714508175448
neurology	C9orf72	D057180	Frontotemporal Dementia	0.199714508175448
neurology	CBS	D006712	Homocystinuria	0.160858257477243
neurology	CD33	D000544	Alzheimer Disease	0.321168831168831
neurology	FYN	D010300	Parkinson Disease	0.175707241110823
neurology	GCH1	D010300	Parkinson Disease	0.3346538511495
neurology	GRIA1	D012893	Sleep Wake Disorders	0.359330391902414
neurology	GRIN2B	D000544	Alzheimer Disease	0.063051375194603
neurology	GRN	D057180	Frontotemporal Dementia	0.308003655829743
neurology	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders	0.378400215459197
neurology	HCRTR1	D012893	Sleep Wake Disorders	0.378400215459197
neurology	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	0.419492080115198
neurology	HCRTR2	D009290	Narcolepsy	0.419492080115198
neurology	HCRTR2	D012893	Sleep Wake Disorders	0.419492080115198
neurology	HTR1A	D007319	Sleep Initiation and Maintenance Disorders	0.324986992715921
neurology	IL7R	D009103	Multiple Sclerosis	0.267991686152247
neurology	MAPK14	D003929	Diabetic Neuropathies	0.100737910133087
neurology	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders	0.24529037287254796
neurology	MTNR1B	D012893	Sleep Wake Disorders	0.24529037287254796
neurology	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	0.45837127618056495
neurology	MTNR1B	D058496	Smith-Magenis Syndrome	0.45837127618056495
neurology	PDE3A	D020521	Stroke	0.388607430501429
neurology	SCN1A	D004828	Epilepsies, Partial	0.251137397634213
neurology	SLC6A3	D009290	Narcolepsy	0.47906644129502
neurology	SLC6A3	D012148	Restless Legs Syndrome	0.47906644129502
neurology	SLC6A3	D012893	Sleep Wake Disorders	0.47906644129502
neurology	SLC6A3	D020920	Dyssomnias	0.47906644129502
neurology	SNCA	D010300	Parkinson Disease	0.457705301455301
neurology	SNCA	D019578	Multiple System Atrophy	0.457705301455301
neurology	TNFRSF1A	D009103	Multiple Sclerosis	0.422701224277156
neurology	TRPM8	D008881	Migraine Disorders	0.192077922077922
congenital	ALPL	D007014	Hypophosphatasia	0.076194703358485
congenital	APOA1	D006938	Hyperlipoproteinemia Type II	0.32682071920031197
congenital	APOA1	D052456	Hypoalphalipoproteinemias	0.32682071920031197
congenital	APOB	D006938	Hyperlipoproteinemia Type II	0.490896085316686
congenital	CBS	D006712	Homocystinuria	0.160858257477243
congenital	CD200R1	D003876	Dermatitis, Atopic	0.45255095417369895
congenital	CETP	D006938	Hyperlipoproteinemia Type II	0.445838751625488
congenital	F11	D005173	Factor XI Deficiency	0.405108540231379
congenital	F7	D005168	Factor VII Deficiency	0.115024694567195
congenital	F7	D006467	Hemophilia A	0.115024694567195
congenital	GATA3	D003876	Dermatitis, Atopic	0.274558212058212
congenital	IL13	D003876	Dermatitis, Atopic	0.24086357133567404
congenital	IL2RA	D003876	Dermatitis, Atopic	0.0793506493506494
congenital	IL33	D003876	Dermatitis, Atopic	0.150921359979237
congenital	IL4R	D003876	Dermatitis, Atopic	0.067936549213366
congenital	INPP5D	D003876	Dermatitis, Atopic	0.190652626105044
congenital	LCAT	D007863	Lecithin Cholesterol Acyltransferase Deficiency	0.0247826651096406
congenital	MC1R	D000417	Albinism	0.0721047853715471
congenital	MTNR1B	D058496	Smith-Magenis Syndrome	0.45837127618056495
congenital	NFKB1	D003876	Dermatitis, Atopic	0.345579644294431
congenital	PCSK9	D006938	Hyperlipoproteinemia Type II	0.167315427533411
congenital	PPARA	D006938	Hyperlipoproteinemia Type II	0.210960032962505
congenital	PPARG	D006073	Gout	0.132439119677041
congenital	SLC22A12	D006073	Gout	0.31723779854621004
congenital	SLC40A1	D006432	Hemochromatosis	0.15123376623376605
congenital	TNFSF4	D003876	Dermatitis, Atopic	0.324243604726659
congenital	TSLP	D003876	Dermatitis, Atopic	0.0271725032425422
congenital	VEGFA	D012174	Retinitis Pigmentosa	0.483123458392834
congenital	VWF	D006467	Hemophilia A	0.36495970886405
congenital	VWF	D014842	von Willebrand Diseases	0.364712001040177
infection	AVPR1A	D018805	Sepsis	0.271917273673257
infection	IFNAR2	D000086382	COVID-19	0.322486014463092
infection	IL33	D012852	Sinusitis	0.156760965481443
infection	TNFRSF1A	D018805	Sepsis	0.422701224277156
infection	TSLP	D012852	Sinusitis	0.273063448812768
endocrine	ABCC8	D003924	Diabetes Mellitus, Type 2	0.363896848137536
endocrine	CALCR	D003920	Diabetes Mellitus	0.499413145539906
endocrine	CALCR	D003924	Diabetes Mellitus, Type 2	0.499609069585614
endocrine	ESR1	D004700	Endocrine System Diseases	0.337861233186842
endocrine	GCK	D003924	Diabetes Mellitus, Type 2	0.161867704280156
endocrine	GLP1R	D003920	Diabetes Mellitus	0.0964206977045779
endocrine	GLP2R	D003924	Diabetes Mellitus, Type 2	0.322109770338653
endocrine	IL2RA	D003922	Diabetes Mellitus, Type 1	0.0959117456197275
endocrine	INS	D003922	Diabetes Mellitus, Type 1	0.26888512633498296
endocrine	INSR	D003924	Diabetes Mellitus, Type 2	0.18041504539559
endocrine	KCNJ11	D003920	Diabetes Mellitus	0.363133940182055
endocrine	MAPK14	D003929	Diabetic Neuropathies	0.100737910133087
endocrine	MAPK14	D017719	Diabetic Foot	0.100737910133087
endocrine	MC4R	D003920	Diabetes Mellitus	0.0214035087719298
endocrine	MC4R	D003924	Diabetes Mellitus, Type 2	0.251461228731004
endocrine	METAP2	D003924	Diabetes Mellitus, Type 2	0.063700051894136
endocrine	NOX4	D003928	Diabetic Nephropathies	0.32501948558067
