gene	n_launched_indic	meansim	n_launched_indic_2000	meansim_2000
DBH	2	0.487		
DDC	2	0	2	0
DHFR	9	0.28655555555555556	8	0.29085714285714287
DHODH	5	0.2953	1	1
DMD	1	1	1	1
DNASE1	1	1	1	1
DPP4	1	1	1	1
DPYSL2	3	0.7116666666666667	3	0.7116666666666667
DRD1	9	0.2687777777777778	6	0.33066666666666666
DRD2	23	0.2581501976284585	14	0.26285714285714284
DRD3	8	0.30507142857142855	5	0.20879999999999999
DRD4	6	0.3522666666666667		
EDNRA	5	0.2826	2	0.188
EDNRB	4	0.30233333333333334	3	0.3933333333333333
EEF1A1	1	1		
EEF2	2	0.398	2	0.398
EGF	1	1		
EGFR	10	0.3161555555555556	8	0.29792857142857143
EGLN1	1	1	1	1
EGLN2	1	1	1	1
EGLN3	1	1	1	1
ELANE	3	0.368		
EPAS1	4	0.1365	4	0.1365
EPCAM	2	0.196	2	0.196
EPHA2	1	1	1	1
EPOR	3	0.354	3	0.354
ERBB2	6	0.6001333333333334	6	0.6001333333333334
ERBB3	1	1	1	1
ERBB4	2	0.557	3	0.555
ESR1	11	0.20965454545454545	8	0.12953571428571428
EZH1	2	0.835	1	1
EZH2	5	0.6752	4	0.6321666666666667
F10	21	0.2830047619047619	19	0.302766081871345
F11	1	1	1	1
F2	20	0.27642105263157896	17	0.2514338235294118
F2R	4	0.11383333333333333	2	0.5
F3	1	1	1	1
F7	4	0.3838333333333333	4	0.3838333333333333
F8	3	0.19833333333333333	3	0.19833333333333333
F9	4	0.41783333333333333	3	0.608
FCER2	1	1		
FCGR1A	1	1	1	1
FCGR2A	1	1	1	1
FCGR3A	1	1	1	1
FCGR3B	1	1	1	1
FCGRT	1	1	1	1
FDPS	1	1	1	1
FGA	5	0.13319999999999999	5	0.13319999999999999
FGB	5	0.13319999999999999	5	0.13319999999999999
FGF2	7	0.19476190476190475	7	0.19476190476190475
FGF23	3	0.16733333333333333	3	0.16733333333333333
FGFR1	23	0.39861660079051386	23	0.39861660079051386
FGFR2	15	0.43543809523809524	14	0.46780219780219784
FGFR3	26	0.3404553846153846	25	0.36644333333333334
FGFR4	13	0.5002307692307693	13	0.5002307692307693
FGG	5	0.13319999999999999	5	0.13319999999999999
FKBP1A	4	0.3665	4	0.3665
FLT1	25	0.37090333333333336	21	0.4041904761904762
FLT3	16	0.3802833333333333	13	0.4291025641025641
FLT4	16	0.5022666666666666	16	0.5022666666666666
FNTA	2	0.214		
FOLH1	5	0.3389	5	0.3389
FOLR1	3	0.6026666666666667	1	1
FSHR	3	0.639	2	0.842
FYN	7	0.30042857142857143	7	0.30042857142857143
GAA	2	0.439	2	0.439
GABBR1	6	0.33540000000000003	6	0.33540000000000003
GABRA1	10	0.2910888888888889	7	0.38247619047619047
GABRA2	8	0.3799642857142857	5	0.564
GABRA3	8	0.3799642857142857	5	0.564
GABRA4	4	0.5725	4	0.5725
GABRA5	8	0.3799642857142857	5	0.564
GALNS	1	1	1	1
GART	2	0.392	2	0.392
GAST	2	0.438	1	1
GBA	1	1	1	1
GCG	2	0.658	2	0.658
GCGR	2	0.658	1	1
GCK	1	1	1	1
GDF2	1	1	1	1
GHR	7	0.41	5	0.3634
GHRHR	3	0.39233333333333337	2	0.793
GHSR	2	0.413	2	0.413
GIPR	1	1	1	1
GLA	1	1	1	1
GLP1R	2	0.475	2	0.475
GLP2R	1	1		
GNRH1	4	0.38066666666666665	4	0.38066666666666665
GNRHR	7	0.22338095238095237	7	0.22338095238095237
GPR55	4	0.5303333333333333	4	0.5303333333333333
GPRC5D	1	1		
GRIA1	4	0.5396666666666666	4	0.5396666666666666
GRIN1	5	0.4786	3	0.44
GUCY1A1	1	1	1	1
GUCY1B1	2	0.203	2	0.203
GUCY2C	2	0.208	2	0.208
GUSB	2	0.182	1	1
HAO1	1	1	1	1
HAS2	1	1	1	1
HBB	1	1	1	1
HCN1	2	0.442		
HCN2	2	0.442		
HCN3	2	0.442		
HCN4	2	0.442		
HCRTR1	1	1	1	1
HCRTR2	1	1	1	1
HDAC1	3	0.698	2	0.605
HDAC10	3	0.5493333333333333	3	0.5493333333333333
HDAC2	3	0.698	2	0.605
HDAC4	1	1	1	1
HDAC6	1	1	1	1
HEXA	1	1		
HGF	2	0.231	2	0.231
HMGCR	13	0.32264102564102565	3	0.8846666666666667
HMOX1	2	0.937	2	0.937
HPD	2	0	1	1
HRH1	19	0.24536842105263157	15	0.25403809523809523
HRH2	8	0.3046785714285714	1	1
HRH3	3	0.604	3	0.604
HSP90AA1	2	0.497	1	1
HTR1A	10	0.4378444444444444	5	0.48
HTR1B	2	0.031	2	0.031
HTR1D	5	0.381	2	0.031
HTR1F	1	1	1	1
HTR2A	11	0.3769272727272727	4	0.6136666666666667
HTR2C	10	0.30493333333333333	6	0.17153333333333334
HTR3A	9	0.2497222222222222	4	0.7565
HTR4	10	0.3864	3	0.3426666666666667
HTR6	4	0.5001666666666666		
HTR7	4	0.6136666666666667	3	0.6583333333333333
HYAL1	3	0.004666666666666667	3	0.004666666666666667
ICAM1	3	0.18933333333333333	1	1
IDH1	2	0.39	2	0.39
IDH2	1	1	1	1
IDS	1	1	1	1
IDUA	1	1		
IFNA1	4	0.37216666666666665	4	0.37216666666666665
IFNA2	1	1		
IFNAR1	6	0.34013333333333334	6	0.34013333333333334
IFNAR2	43	0.3084485049833887	35	0.31611428571428574
IFNB1	3	0.709	3	0.709
IFNG	4	0.2785	4	0.2785
IFNGR1	4	0.2758333333333333		
IGF1R	2	0.296	2	0.296
IGHE	5	0.5942000000000001	2	0.777
IL11RA	1	1	1	1
IL12B	4	0.42183333333333334	4	0.42183333333333334
IL13	1	1	1	1
IL15RA	1	1	1	1
IL17A	4	0.42133333333333334	4	0.42133333333333334
IL17F	3	0.6783333333333333	3	0.6783333333333333
IL17RA	6	0.5347333333333333	6	0.5347333333333333
IL1A	4	0.21966666666666668	1	1
IL1B	10	0.23464444444444443	8	0.2307142857142857
IL1R1	2	0.297	2	0.297
IL1RL2	1	1	1	1
IL1RN	1	1		
IL2	1	1	1	1
IL23A	4	0.42183333333333334	4	0.42183333333333334
IL2RA	18	0.31129411764705883	16	0.3265416666666667
IL31	2	0.449	2	0.449
IL3RA	1	1	1	1
IL4R	6	0.40653333333333336	6	0.40653333333333336
IL5	5	0.36560000000000004		
IL5RA	2	0.542	2	0.542
IL6	4	0.1245	1	1
IL6R	8	0.21164285714285713	5	0.18430000000000002
IMPDH1	3	0.4083333333333333	2	0.445
INS	1	1	1	1
INSR	3	0.7286666666666667	3	0.7286666666666667
IRAK1	2	0.41	2	0.41
ITGA2B	6	0.4643333333333333	4	0.35383333333333333
ITGA4	5	0.3973	2	0.182
ITGAL	2	0.197	1	1
ITGAV	4	0.35383333333333333	4	0.35383333333333333
ITGB1	3	0.3416666666666667	1	1
ITGB2	4	0.35383333333333333	4	0.35383333333333333
ITGB3	6	0.4643333333333333	4	0.35383333333333333
ITGB7	5	0.3973	1	1
JAK1	14	0.21912087912087913	14	0.21912087912087913
JAK2	11	0.24021818181818183	11	0.24021818181818183
JAK3	8	0.30410714285714285	8	0.30410714285714285
KCNH2	2	0.721	2	0.721
KCNJ11	2	0.733	2	0.733
KCNJ8	3	0.5383333333333333	2	0.95
KCNMA1	1	1		
KCNQ2	1	1		
KCNQ3	1	1		
KDR	25	0.38358	21	0.43216190476190475
KIT	27	0.3153162393162393	20	0.3718421052631579
KLK3	2	0.372	2	0.372
KLKB1	1	1	1	1
KRAS	1	1	1	1
LCK	2	0.696	2	0.696
LEPR	1	1		
LHCGR	5	0.5502	4	0.5666666666666667
LIPA	1	1	1	1
LPL	2	0.18	1	1
LYN	9	0.2872222222222222	9	0.2872222222222222
MAN2B1	1	1	1	1
MAOA	1	1	1	1
MAOB	2	0.031	1	1
MAP2K1	6	0.3867333333333333	5	0.4477
MAP2K2	6	0.3867333333333333	5	0.4477
MAPK14	1	1	1	1
MASP2	2	0.194	2	0.194
MC1R	1	1	1	1
MC4R	6	0.225	6	0.225
MME	2	0.247		
MMP1	3	0.28	1	1
MPL	3	0.5609999999999999	3	0.5609999999999999
MS4A1	19	0.3961988304093567	17	0.40848529411764706
MT-ND4	1	1	1	1
MTNR1A	5	0.5825	5	0.5825
MTNR1B	5	0.5825	5	0.5825
MTOR	15	0.30201904761904763	7	0.20819047619047618
MTTP	2	0.836		
NECTIN4	1	1	1	1
NFE2L2	4	0.2553333333333333	4	0.2553333333333333
NFKB1	5	0.667	1	1
NGF	1	1	1	1
NGFR	1	1	1	1
NPC1L1	3	0.8416666666666667	1	1
NPR1	1	1		
NR1H4	7	0.3516666666666667	2	0.527
NR3C1	43	0.26906533776301217	34	0.27683244206773616
NTRK1	2	0.475	2	0.475
NTRK2	2	0.475	2	0.475
NTRK3	2	0.475	2	0.475
ODC1	1	1		
OPRD1	12	0.25281818181818183	9	0.2837222222222222
OPRK1	23	0.24716600790513835	14	0.28418681318681316
OPRM1	25	0.24147333333333335	19	0.26269590643274854
OXTR	2	0.18	2	0.18
P2RX3	1	1	1	1
PAH	2	0.487	1	1
PARP1	6	0.6045333333333334	6	0.6045333333333334
PARP2	6	0.6045333333333334	6	0.6045333333333334
PARP3	4	0.6391666666666667	4	0.6391666666666667
PCSK9	4	0.5316666666666666	4	0.5316666666666666
PDCD1	24	0.48346739130434785	24	0.48346739130434785
PDE4A	6	0.41173333333333334	4	0.5328333333333334
PDE4B	6	0.41173333333333334	4	0.5328333333333334
PDE4C	6	0.41173333333333334	4	0.5328333333333334
PDE4D	6	0.41173333333333334	4	0.5328333333333334
PDE5A	4	0.223	4	0.223
PDGFB	3	0.5606666666666666		
PDGFRA	20	0.3589631578947368	17	0.41105882352941175
PDGFRB	12	0.3742878787878788	10	0.3634888888888889
PGR	18	0.25026143790849675	12	0.2441818181818182
PIK3CA	3	0.13033333333333333	3	0.13033333333333333
PIK3CB	1	1	1	1
PIK3CD	8	0.47335714285714287	8	0.47335714285714287
PIK3CG	2	0.594	2	0.594
PKLR	1	1	1	1
PLAT	6	0.5340666666666667	5	0.521
PLAU	19	0.2920233918128655	7	0.32433333333333336
PLG	4	0.16166666666666668	4	0.16166666666666668
PMEL	1	1	1	1
PNLIP	2	0.21	1	1
PNP	1	1	1	1
POLA1	7	0.372952380952381	2	0.365
POLB	5	0.4017		
PPARA	7	0.4967142857142857	7	0.4967142857142857
PPARD	1	1	1	1
PPARG	9	0.3570833333333333	7	0.38471428571428573
PPIA	3	0.32366666666666666	2	0.437
PPT1	1	1		
PRKCA	4	0.35916666666666663		
PRKCB	4	0.5671666666666667		
PRKCD	1	1	1	1
PROC	3	0.387		
PTAFR	4	0.7785		
PTGER2	6	0.17146666666666666	5	0.2407
PTGER3	1	1	1	1
PTGFR	2	0.199	1	1
PTGIR	1	1	1	1
PTGS1	30	0.27039540229885056	17	0.27030882352941177
PTGS2	31	0.25816129032258067	20	0.2750105263157895
PTH1R	2	0.196	2	0.196
PTPN1	1	1	1	1
PTPN11	1	1	1	1
PTPN6	1	1	1	1
RAF1	5	0.6178	3	0.762
RARA	3	0.523	1	1
RARB	4	0.3711666666666667	2	0.203
RARG	4	0.3581666666666667	2	0.183
REN	3	0.45299999999999996	3	0.45299999999999996
RET	13	0.4675897435897436	13	0.4675897435897436
ROCK1	1	1	1	1
ROCK2	2	0.199	2	0.199
ROS1	3	0.432	3	0.432
RPE65	2	0.499	2	0.499
RRM1	3	0.33366666666666667	1	1
RRM2	1	1	1	1
RXFP1	1	1	1	1
RXRA	1	1		
RXRB	1	1		
RXRG	1	1		
RYR1	2	0.189	2	0.189
S1PR1	3	0.3396666666666667	3	0.3396666666666667
S1PR3	1	1		
S1PR4	1	1		
S1PR5	3	0.3396666666666667	3	0.3396666666666667
SCN1A	11	0.31445454545454543	9	0.32302777777777775
SCN2A	11	0.31445454545454543	9	0.32302777777777775
SCN3A	11	0.31445454545454543	9	0.32302777777777775
SCN5A	11	0.2976	10	0.2808222222222222
SCN9A	6	0.3217333333333333	5	0.4668
SCTR	1	1		
SELP	1	1	1	1
SERPINA1	1	1	1	1
SERPINC1	12	0.3397272727272727	8	0.3435357142857143
SERPING1	1	1	1	1
SI	1	1		
SIGMAR1	1	1	1	1
SLAMF7	1	1	1	1
SLC10A1	1	1	1	1
SLC10A2	2	0	2	0
SLC12A1	3	0.28099999999999997	2	0.206
SLC12A2	3	0.28099999999999997	2	0.206
SLC18A2	3	0.364	3	0.364
SLC19A1	1	1	1	1
SLC22A12	1	1	1	1
SLC5A1	3	0.3843333333333333	3	0.3843333333333333
SLC5A2	5	0.394	5	0.394
SLC6A2	20	0.3086263157894737	15	0.31543809523809524
SLC6A3	9	0.2843333333333333	7	0.36504761904761907
SLC6A4	23	0.2974110671936759	20	0.2918263157894737
SLC7A11	1	1	1	1
SLC8A1	2	0.745	2	0.745
SLC9A3	2	0.196	2	0.196
SMN1	1	1	1	1
SMN2	1	1	1	1
SMO	2	0.379	2	0.379
SMPD1	2	0.195	1	1
SNCA	1	1	1	1
SOD1	1	1	1	1
SOST	1	1		
SRC	3	0.48933333333333334	3	0.48933333333333334
SRD5A1	3	0.221		
SRD5A2	3	0.221	1	1
SSTR2	2	0.822	2	0.822
SYK	1	1	1	1
TACR1	5	0.3022	5	0.3022
TACR3	1	1	1	1
TACSTD2	2	0.559	2	0.559
TBXA2R	2	0.772		
TBXAS1	4	0.25266666666666665	3	0.305
TEK	6	0.5058666666666667	6	0.5058666666666667
TGFB1	7	0.14585714285714285	7	0.14585714285714285
TH	1	1	1	1
TLR3	5	0.6421	5	0.6421
TLR4	1	1	1	1
TLR5	1	1	1	1
TLR9	2	0	1	1
TNF	17	0.3059411764705882	15	0.2958857142857143
TNFRSF17	1	1	1	1
TNFRSF1A	2	0.199	2	0.199
TNFRSF8	4	0.7496666666666667	4	0.7496666666666667
TNFSF13	1	1	1	1
TNFSF13B	2	0.824	1	1
TNNC1	1	1		
TOP1	6	0.5848666666666666	4	0.5878333333333333
TOP2A	27	0.43507407407407406	26	0.43008
TP53	12	0.4833636363636364	1	1
TPH1	1	1	1	1
TPP1	1	1	1	1
TRHR	1	1	1	1
TRPA1	4	0.552	4	0.552
TRPV1	9	0.4395	9	0.4410277777777778
TSHR	2	0.697	1	1
TSLP	1	1	1	1
TTR	2	0.739	2	0.739
TUBB	14	0.5210989010989011	13	0.5306538461538461
TYK2	2	0.46	2	0.46
TYMS	16	0.41906666666666664	13	0.39247435897435895
TYR	1	1		
UGCG	2	0.83	1	1
VDR	7	0.2932857142857143	4	0.19216666666666668
VEGFA	24	0.3135326086956522	19	0.3542514619883041
VIPR1	2	0	2	0
VWF	4	0.299	4	0.299
XDH	1	1	1	1
XPO1	2	0.619	2	0.619
YES1	2	0.696	2	0.696
