area	genelist	developed	supported	utilization
congenital	rhodopsin-like GPCRs	2	38	0.05263157894736842
congenital	nuclear receptors	2	19	0.10526315789473684
congenital	enzymes	14	229	0.0611353711790393
congenital	ion channels	1	76	0.013157894736842105
congenital	kinases	2	85	0.023529411764705882
neurology	all genes	72	2791	0.025797205302758867
neurology	predicted Ab tractable	61	1524	0.04002624671916011
neurology	predicted SM tractable	56	953	0.05876180482686254
neurology	rhodopsin-like GPCRs	6	44	0.13636363636363635
neurology	nuclear receptors	0	8	0
neurology	enzymes	10	164	0.06097560975609756
neurology	ion channels	10	96	0.10416666666666667
neurology	kinases	3	66	0.045454545454545456
cardiovascular	all genes	33	1706	0.019343493552168817
cardiovascular	predicted Ab tractable	31	899	0.034482758620689655
cardiovascular	predicted SM tractable	30	578	0.05190311418685121
cardiovascular	rhodopsin-like GPCRs	2	22	0.09090909090909091
cardiovascular	nuclear receptors	1	10	0.1
cardiovascular	enzymes	9	122	0.07377049180327869
cardiovascular	ion channels	8	48	0.16666666666666666
cardiovascular	kinases	1	62	0.016129032258064516
oncology	all genes	113	2045	0.05525672371638142
oncology	predicted Ab tractable	83	949	0.0874604847207587
oncology	predicted SM tractable	99	716	0.138268156424581
oncology	rhodopsin-like GPCRs	5	26	0.19230769230769232
oncology	nuclear receptors	2	13	0.15384615384615385
oncology	enzymes	24	130	0.18461538461538463
oncology	ion channels	0	33	0
oncology	kinases	28	79	0.35443037974683544
digestive	all genes	31	1610	0.019254658385093167
digestive	predicted Ab tractable	25	871	0.02870264064293915
digestive	predicted SM tractable	21	552	0.03804347826086957
digestive	rhodopsin-like GPCRs	3	33	0.09090909090909091
digestive	nuclear receptors	2	12	0.16666666666666666
digestive	enzymes	6	95	0.06315789473684211
digestive	ion channels	1	21	0.047619047619047616
digestive	kinases	2	51	0.0392156862745098
psychiatry	all genes	30	1663	0.01803968731208659
psychiatry	predicted Ab tractable	28	891	0.031425364758698095
psychiatry	predicted SM tractable	29	524	0.05534351145038168
psychiatry	rhodopsin-like GPCRs	8	34	0.23529411764705882
psychiatry	nuclear receptors	0	9	0
psychiatry	enzymes	4	101	0.039603960396039604
psychiatry	ion channels	6	55	0.10909090909090909
psychiatry	kinases	0	49	0
signs/symptoms	all genes	45	2654	0.016955538809344386
signs/symptoms	predicted Ab tractable	39	1408	0.027698863636363636
signs/symptoms	predicted SM tractable	39	840	0.04642857142857143
signs/symptoms	rhodopsin-like GPCRs	7	55	0.12727272727272726
signs/symptoms	nuclear receptors	4	19	0.21052631578947367
signs/symptoms	enzymes	4	153	0.026143790849673203
signs/symptoms	ion channels	10	73	0.136986301369863
signs/symptoms	kinases	3	71	0.04225352112676056
immune	all genes	43	1536	0.027994791666666668
immune	predicted Ab tractable	40	838	0.0477326968973747
immune	predicted SM tractable	28	534	0.052434456928838954
immune	rhodopsin-like GPCRs	4	30	0.13333333333333333
immune	nuclear receptors	0	4	0
immune	enzymes	8	92	0.08695652173913043
immune	ion channels	0	19	0
immune	kinases	2	49	0.04081632653061224
dermatology	all genes	37	1590	0.023270440251572325
dermatology	predicted Ab tractable	33	869	0.0379746835443038
dermatology	predicted SM tractable	23	522	0.044061302681992334
dermatology	rhodopsin-like GPCRs	1	18	0.05555555555555555
dermatology	nuclear receptors	0	6	0
dermatology	enzymes	6	106	0.05660377358490566
dermatology	ion channels	0	24	0
dermatology	kinases	3	45	0.06666666666666667
ophthalmology	all genes	21	1573	0.013350286077558804
ophthalmology	predicted Ab tractable	16	888	0.018018018018018018
ophthalmology	predicted SM tractable	14	478	0.029288702928870293
ophthalmology	rhodopsin-like GPCRs	1	16	0.0625
ophthalmology	nuclear receptors	1	12	0.08333333333333333
ophthalmology	enzymes	3	87	0.034482758620689655
ophthalmology	ion channels	2	44	0.045454545454545456
ophthalmology	kinases	0	43	0
musculoskeletal	all genes	27	1359	0.019867549668874173
musculoskeletal	predicted Ab tractable	24	735	0.0326530612244898
musculoskeletal	predicted SM tractable	19	449	0.042316258351893093
musculoskeletal	rhodopsin-like GPCRs	1	15	0.06666666666666667
musculoskeletal	nuclear receptors	2	5	0.4
musculoskeletal	enzymes	2	82	0.024390243902439025
musculoskeletal	ion channels	1	24	0.041666666666666664
musculoskeletal	kinases	4	42	0.09523809523809523
other	all genes	6	1186	0.00505902192242833
other	predicted Ab tractable	5	586	0.008532423208191127
other	predicted SM tractable	5	363	0.013774104683195593
other	rhodopsin-like GPCRs	0	19	0
other	nuclear receptors	1	7	0.14285714285714285
other	enzymes	0	67	0
other	ion channels	0	28	0
other	kinases	1	30	0.03333333333333333
